task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
104	dc/042693	172374	SEARCH_HBV_MUTATIONS (barcode_68_TPOSP020xPCR1test_D3)	COMPLETED	0	2026-08-19 17:30:39.023	1.1s	683ms	89.1%	4.8 MB	86.6 MB	6.2 MB	5.1 KB
86	b2/c3a280	151011	ALIGN_GENOTYPE_BAM (barcode_60_026084395002_A4)	COMPLETED	0	2026-08-19 17:30:21.406	19.1s	18.6s	249.0%	285.1 MB	1.5 GB	492.7 MB	413.2 MB
106	4f/84450e	173691	COMPUTE_BAM_COVERAGE (barcode_60_026084395002_A4)	COMPLETED	0	2026-08-19 17:30:40.510	2.4s	2.1s	100.3%	10 MB	47.9 MB	89.8 MB	369.6 KB
102	1e/4fc48c	167398	CALL_VCF (barcode_61_TEXTP020_D10)	COMPLETED	0	2026-08-19 17:30:33.747	10.7s	10.3s	94.7%	322.5 MB	1013.3 MB	92.7 MB	5.4 MB
107	8e/431286	175921	SEARCH_HBV_MUTATIONS (barcode_61_TEXTP020_D10)	COMPLETED	0	2026-08-19 17:30:44.502	333ms	18ms	92.7%	0	0	202.5 KB	2 KB
83	be/0cc1e0	150897	ALIGN_GENOTYPE_BAM (barcode_57_026079402703_C1)	COMPLETED	0	2026-08-19 17:30:21.388	26.2s	25.9s	238.5%	516.8 MB	1.5 GB	765.2 MB	638.5 MB
97	8e/51291a	156743	CALL_VCF (barcode_65_026083024001xPCR1test_A2)	COMPLETED	0	2026-08-19 17:30:24.994	26.1s	25.7s	98.2%	378.6 MB	1014.2 MB	314.2 MB	40.3 MB
108	29/71a34b	176964	COMPUTE_BAM_COVERAGE (barcode_57_026079402703_C1)	COMPLETED	0	2026-08-19 17:30:47.654	3.5s	3.1s	100.1%	10.1 MB	47.9 MB	136.6 MB	375.9 KB
110	81/7e0368	178568	SEARCH_HBV_MUTATIONS (barcode_65_026083024001xPCR1test_A2)	COMPLETED	0	2026-08-19 17:30:51.080	956ms	644ms	95.8%	4.6 MB	84.5 MB	6.2 MB	6.3 KB
99	71/ac9f5a	157663	CALL_VCF (barcode_66_026084395002xPCR1test_A5)	COMPLETED	0	2026-08-19 17:30:25.353	27.1s	26.7s	96.8%	383.3 MB	1014 MB	320.1 MB	41.5 MB
111	ab/af71f7	179403	SEARCH_HBV_MUTATIONS (barcode_66_026084395002xPCR1test_A5)	COMPLETED	0	2026-08-19 17:30:52.496	904ms	613ms	97.3%	4.6 MB	83.4 MB	6.2 MB	5.9 KB
82	9f/0cb162	150796	PHYLOGENY	COMPLETED	0	2026-08-19 17:30:21.357	32.6s	32.3s	1343.6%	309.8 MB	1.4 GB	24.5 MB	1.8 MB
84	ec/acb3a9	150869	ALIGN_GENOTYPE_BAM (barcode_58_026080721102_E)	COMPLETED	0	2026-08-19 17:30:21.382	34.2s	33.9s	241.0%	662.3 MB	1.7 GB	994.2 MB	830.8 MB
85	da/0293f8	151096	ALIGN_GENOTYPE_BAM (barcode_59_026083024001_A2)	COMPLETED	0	2026-08-19 17:30:21.417	38.4s	37.9s	304.5%	675.5 MB	1.6 GB	668.3 MB	559.3 MB
112	cd/e0591e	180319	COMPUTE_BAM_COVERAGE (barcode_58_026080721102_E)	COMPLETED	0	2026-08-19 17:30:55.603	4.3s	4s	100.0%	9.9 MB	47.9 MB	178.2 MB	359.2 KB
115	96/c4902d	182675	COMPUTE_BAM_COVERAGE (barcode_59_026083024001_A2)	COMPLETED	0	2026-08-19 17:30:59.874	3.4s	3s	94.7%	10 MB	47.9 MB	121.1 MB	374.7 KB
88	9a/f362ff	150847	ALIGN_GENOTYPE_BAM (barcode_62_TPOSP020_D3)	COMPLETED	0	2026-08-19 17:30:21.376	49s	48.6s	243.6%	1.2 GB	1.9 GB	1.4 GB	1.2 GB
116	01/884e14	189553	COMPUTE_BAM_COVERAGE (barcode_62_TPOSP020_D3)	COMPLETED	0	2026-08-19 17:31:10.361	6.1s	5.8s	99.9%	9.8 MB	47.9 MB	256 MB	334.4 KB
118	19/78a598	192586	PLOT_GLOBAL_COVERAGE	COMPLETED	0	2026-08-19 17:31:16.441	2.5s	2.2s	98.7%	186.1 MB	507.3 MB	19.5 MB	3 MB
105	27/425560	173699	CALL_VCF (barcode_60_026084395002_A4)	COMPLETED	0	2026-08-19 17:30:40.516	45.2s	44.8s	99.0%	589.2 MB	1.2 GB	682.9 MB	114.3 MB
